전체 카테고리 성장률 순위:
====================================
Rank 1: {'대카테고리': '스포츠/레저', '중카테고리': '수영/수상스포츠', '소카테고리': '스노클링/다이빙', '세부카테고리': '다이빙 소품', 'total': 65, 'recent_sum': 51, 'older_sum': 14, 'growth_rate': 3.642857142857143, 'final_score': 301.7857142857143, 'rank': 1}
Rank 2: {'대카테고리': '주방용품', '중카테고리': '컵/텀블러/와인용품', '소카테고리': '유아동컵/빨대컵', '세부카테고리': '유아동컵', 'total': 120, 'recent_sum': 80, 'older_sum': 40, 'growth_rate': 2.0, 'final_score': 360.0, 'rank': 2}
Rank 3: {'대카테고리': '출산/유아동', '중카테고리': '이유용품/유아식기', '소카테고리': '빨대컵/유아컵', '세부카테고리': '유아용물컵', 'total': 121, 'recent_sum': 80, 'older_sum': 41, 'growth_rate': 1.951219512195122, 'final_score': 357.0975609756097, 'rank': 3}
Rank 4: {'대카테고리': '완구/취미', '중카테고리': 'DIY', '소카테고리': '비누DIY', '세부카테고리': '비누DIY재료', 'total': 87, 'recent_sum': 57, 'older_sum': 30, 'growth_rate': 1.9, 'final_score': 252.29999999999998, 'rank': 4}
Rank 5: {'대카테고리': '여성패션', '중카테고리': '가방/잡화', '소카테고리': '지갑/벨트', '세부카테고리': '지갑', 'total': 515, 'recent_sum': 337, 'older_sum': 178, 'growth_rate': 1.8932584269662922, 'final_score': 1490.0280898876404, 'rank': 5}
Rank 6: {'대카테고리': '주방용품', '중카테고리': '밀폐저장/도시락', '소카테고리': '양념통/오일병', '세부카테고리': '오일병/소스병', 'total': 482, 'recent_sum': 315, 'older_sum': 167, 'growth_rate': 1.8862275449101797, 'final_score': 1391.1616766467068, 'rank': 6}
Rank 7: {'대카테고리': '식품', '중카테고리': '커피/원두/차', '소카테고리': '율무/전통차', '세부카테고리': '기타전통차', 'total': 195, 'recent_sum': 126, 'older_sum': 69, 'growth_rate': 1.826086956521739, 'final_score': 551.0869565217391, 'rank': 7}
Rank 8: {'대카테고리': '여성패션', '중카테고리': '가방/잡화', '소카테고리': '선글라스/안경테', '세부카테고리': '안경테', 'total': 104, 'recent_sum': 65, 'older_sum': 39, 'growth_rate': 1.6666666666666667, 'final_score': 277.33333333333337, 'rank': 8}
Rank 9: {'대카테고리': '식품', '중카테고리': '쌀/잡곡', '소카테고리': '콩/팥/보리', '세부카테고리': '콩', 'total': 182, 'recent_sum': 111, 'older_sum': 71, 'growth_rate': 1.5633802816901408, 'final_score': 466.53521126760563, 'rank': 9}
Rank 10: {'대카테고리': '주방용품', '중카테고리': '냄비/프라이팬', '소카테고리': '프라이팬', '세부카테고리': '프라이팬덮개/부자재', 'total': 142, 'recent_sum': 86, 'older_sum': 56, 'growth_rate': 1.5357142857142858, 'final_score': 360.07142857142856, 'rank': 10}
Rank 11: {'대카테고리': '가전디지털', '중카테고리': 'PC부품', '소카테고리': 'USB허브/케이블/젠더', '세부카테고리': '변환젠더', 'total': 393, 'recent_sum': 236, 'older_sum': 157, 'growth_rate': 1.5031847133757963, 'final_score': 983.751592356688, 'rank': 11}
Rank 12: {'대카테고리': '남성패션', '중카테고리': '가방/잡화', '소카테고리': '선글라스/안경테', '세부카테고리': '안경테', 'total': 100, 'recent_sum': 60, 'older_sum': 40, 'growth_rate': 1.5, 'final_score': 250.0, 'rank': 12}
Rank 13: {'대카테고리': '홈인테리어', '중카테고리': '홈데코', '소카테고리': '캔들/캔들홀더', '세부카테고리': '캔들홀더/촛대', 'total': 64, 'recent_sum': 37, 'older_sum': 27, 'growth_rate': 1.3703703703703705, 'final_score': 151.7037037037037, 'rank': 13}
Rank 14: {'대카테고리': '주방용품', '중카테고리': '일회용품/종이컵', '소카테고리': '배달일회용용품', '세부카테고리': '일회용수저/포크', 'total': 120, 'recent_sum': 69, 'older_sum': 51, 'growth_rate': 1.3529411764705883, 'final_score': 282.3529411764706, 'rank': 14}
Rank 15: {'대카테고리': '생활용품', '중카테고리': '주방수납/잡화', '소카테고리': '주방일회용품', '세부카테고리': '일회용수저', 'total': 112, 'recent_sum': 63, 'older_sum': 49, 'growth_rate': 1.2857142857142858, 'final_score': 256.0, 'rank': 15}
Rank 16: {'대카테고리': '스포츠/레저', '중카테고리': '낚시', '소카테고리': '줄/바늘/채비', '세부카테고리': '낚싯줄', 'total': 176, 'recent_sum': 98, 'older_sum': 78, 'growth_rate': 1.2564102564102564, 'final_score': 397.12820512820514, 'rank': 16}
Rank 17: {'대카테고리': '스포츠/레저', '중카테고리': '구기스포츠', '소카테고리': '야구', '세부카테고리': '보호장비', 'total': 135, 'recent_sum': 75, 'older_sum': 60, 'growth_rate': 1.25, 'final_score': 303.75, 'rank': 17}
Rank 18: {'대카테고리': '식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '커피/원두/차', '세부카테고리': '홍차/기타차', 'total': 310, 'recent_sum': 172, 'older_sum': 138, 'growth_rate': 1.2463768115942029, 'final_score': 696.376811594203, 'rank': 18}
Rank 19: {'대카테고리': '주방용품', '중카테고리': '그릇/홈세트', '소카테고리': '이유/유아식기', '세부카테고리': '캐릭터아동식기', 'total': 157, 'recent_sum': 87, 'older_sum': 70, 'growth_rate': 1.2428571428571429, 'final_score': 352.12857142857143, 'rank': 19}
Rank 20: {'대카테고리': '주방용품', '중카테고리': '보온/보냉용품', '소카테고리': '쿨러백/보온보냉소품', '세부카테고리': '기타보온보냉소품', 'total': 240, 'recent_sum': 131, 'older_sum': 109, 'growth_rate': 1.201834862385321, 'final_score': 528.4403669724771, 'rank': 20}
Rank 21: {'대카테고리': '홈인테리어', '중카테고리': '셀프인테리어', '소카테고리': '공구/자재', '세부카테고리': '전동드릴/드라이버', 'total': 114, 'recent_sum': 61, 'older_sum': 53, 'growth_rate': 1.150943396226415, 'final_score': 245.2075471698113, 'rank': 21}
Rank 22: {'대카테고리': '홈인테리어', '중카테고리': '공구/철물/DIY', '소카테고리': '전동/정밀공구', '세부카테고리': '드릴/드릴세트', 'total': 114, 'recent_sum': 61, 'older_sum': 53, 'growth_rate': 1.150943396226415, 'final_score': 245.2075471698113, 'rank': 22}
