추천 카테고리 순위 (Top 31):
====================================
Rank 1: {'대카테고리': '홈인테리어', '중카테고리': '원예/가드닝', '소카테고리': '조화/비누꽃', '세부카테고리': '화관', 'total': 76, 'recent_sum': 76, 'older_sum': 0, 'growth_rate': 76, 'final_score': 5852, 'rank': 1}
Rank 2: {'대카테고리': '주방용품', '중카테고리': '주방잡화', '소카테고리': '식탁보/테이블매트', '세부카테고리': '테이블매트', 'total': 3768, 'recent_sum': 1137, 'older_sum': 2631, 'growth_rate': 0.4321550741163056, 'final_score': 5396.360319270239, 'rank': 2}
Rank 3: {'대카테고리': '자동차용품', '중카테고리': '인테리어', '소카테고리': '바닥매트/트렁크매트', '세부카테고리': '바닥매트', 'total': 3552, 'recent_sum': 1093, 'older_sum': 2459, 'growth_rate': 0.4444896299308662, 'final_score': 5130.827165514437, 'rank': 3}
Rank 4: {'대카테고리': '주방용품', '중카테고리': '그릇/홈세트', '소카테고리': '식탁보/테이블매트', '세부카테고리': '테이블매트', 'total': 3419, 'recent_sum': 1136, 'older_sum': 2283, 'growth_rate': 0.49759088918090233, 'final_score': 5120.263250109506, 'rank': 4}
Rank 5: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '단추/레이스', '세부카테고리': '단추', 'total': 2274, 'recent_sum': 1198, 'older_sum': 1076, 'growth_rate': 1.1133828996282529, 'final_score': 4805.832713754647, 'rank': 5}
Rank 6: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '퀼트', '세부카테고리': '단추/레이스', 'total': 2205, 'recent_sum': 1159, 'older_sum': 1046, 'growth_rate': 1.1080305927342256, 'final_score': 4648.2074569789675, 'rank': 6}
Rank 7: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '펠트', '세부카테고리': '단추/레이스', 'total': 2206, 'recent_sum': 1159, 'older_sum': 1047, 'growth_rate': 1.1069723018147086, 'final_score': 4647.980897803247, 'rank': 7}
Rank 8: {'대카테고리': '생활용품', '중카테고리': '주방수납/잡화', '소카테고리': '주방잡화', '세부카테고리': '식탁보/러너', 'total': 3126, 'recent_sum': 1022, 'older_sum': 2104, 'growth_rate': 0.48574144486692017, 'final_score': 4644.427756653992, 'rank': 8}
Rank 9: {'대카테고리': '문구/오피스', '중카테고리': '학용품/수업준비', '소카테고리': '네임스티커/명찰', '세부카테고리': '네임스티커', 'total': 67, 'recent_sum': 67, 'older_sum': 0, 'growth_rate': 67, 'final_score': 4556, 'rank': 9}
Rank 10: {'대카테고리': '출산/유아동', '중카테고리': '유아동패션', '소카테고리': '남아', '세부카테고리': '의류', 'total': 3030, 'recent_sum': 985, 'older_sum': 2045, 'growth_rate': 0.48166259168704156, 'final_score': 4489.437652811736, 'rank': 10}
Rank 11: {'대카테고리': '가전디지털', '중카테고리': '음향기기', '소카테고리': '음향 액세서리', '세부카테고리': '이어폰케이스/거치대', 'total': 2475, 'recent_sum': 1028, 'older_sum': 1447, 'growth_rate': 0.710435383552177, 'final_score': 4233.3275742916385, 'rank': 11}
