전체 카테고리 성장률 순위:
====================================
Rank 1: {'대카테고리': '홈인테리어', '중카테고리': '원예/가드닝', '소카테고리': '조화/비누꽃', '세부카테고리': '화관', 'total': 76, 'recent_sum': 76, 'older_sum': 0, 'growth_rate': 76, 'final_score': 5852, 'rank': 1}
Rank 2: {'대카테고리': '문구/오피스', '중카테고리': '학용품/수업준비', '소카테고리': '네임스티커/명찰', '세부카테고리': '네임스티커', 'total': 67, 'recent_sum': 67, 'older_sum': 0, 'growth_rate': 67, 'final_score': 4556, 'rank': 2}
Rank 3: {'대카테고리': '완구/취미', '중카테고리': '퍼즐/큐브/피젯토이', '소카테고리': '큐브', '세부카테고리': '액시스큐브', 'total': 26, 'recent_sum': 26, 'older_sum': 0, 'growth_rate': 26, 'final_score': 702, 'rank': 3}
Rank 4: {'대카테고리': '헬스/건강식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '수산물/건어물', '세부카테고리': '생선알', 'total': 52, 'recent_sum': 50, 'older_sum': 2, 'growth_rate': 25.0, 'final_score': 1352.0, 'rank': 4}
Rank 5: {'대카테고리': '완구/취미', '중카테고리': 'RC완구/부품', '소카테고리': 'RC드론/쿼드콥터', '세부카테고리': '완구용드론', 'total': 23, 'recent_sum': 22, 'older_sum': 1, 'growth_rate': 22.0, 'final_score': 529.0, 'rank': 5}
Rank 6: {'대카테고리': '완구/취미', '중카테고리': '수집품', '소카테고리': 'CD/LP', '세부카테고리': '굿즈/스타샵', 'total': 19, 'recent_sum': 19, 'older_sum': 0, 'growth_rate': 19, 'final_score': 380, 'rank': 6}
Rank 7: {'대카테고리': '자동차용품', '중카테고리': '오토바이용품', '소카테고리': '배달가방/탑박스', '세부카테고리': '배달가방', 'total': 18, 'recent_sum': 18, 'older_sum': 0, 'growth_rate': 18, 'final_score': 342, 'rank': 7}
Rank 8: {'대카테고리': '반려동물용품', '중카테고리': '관상어 용품', '소카테고리': '수조/어항', '세부카테고리': '수조/어항', 'total': 19, 'recent_sum': 18, 'older_sum': 1, 'growth_rate': 18.0, 'final_score': 361.0, 'rank': 8}
Rank 9: {'대카테고리': '생활용품', '중카테고리': '건강/의료용품', '소카테고리': '의약외품/상비용품', '세부카테고리': '알콜솜/거즈/붕대', 'total': 37, 'recent_sum': 35, 'older_sum': 2, 'growth_rate': 17.5, 'final_score': 684.5, 'rank': 9}
Rank 10: {'대카테고리': '가전디지털', '중카테고리': '1인방송 전문관', '소카테고리': '저장장치/배터리', '세부카테고리': 'OTG', 'total': 16, 'recent_sum': 15, 'older_sum': 1, 'growth_rate': 15.0, 'final_score': 256.0, 'rank': 10}
Rank 11: {'대카테고리': '홈인테리어', '중카테고리': '커튼/블라인드', '소카테고리': '블라인드/쉐이드', '세부카테고리': '콤비블라인드', 'total': 143, 'recent_sum': 134, 'older_sum': 9, 'growth_rate': 14.88888888888889, 'final_score': 2272.1111111111113, 'rank': 11}
Rank 12: {'대카테고리': '완구/취미', '중카테고리': '수집품', '소카테고리': None, '세부카테고리': None, 'total': 14, 'recent_sum': 14, 'older_sum': 0, 'growth_rate': 14, 'final_score': 210, 'rank': 12}
Rank 13: {'대카테고리': '홈인테리어', '중카테고리': '싱글하우스', '소카테고리': '의자/소파', '세부카테고리': '빈백', 'total': 59, 'recent_sum': 55, 'older_sum': 4, 'growth_rate': 13.75, 'final_score': 870.25, 'rank': 13}
Rank 14: {'대카테고리': '문구/오피스', '중카테고리': '데코/포장용품', '소카테고리': '스탬프/씰링', '세부카테고리': '씰링/씰왁스', 'total': 170, 'recent_sum': 158, 'older_sum': 12, 'growth_rate': 13.166666666666666, 'final_score': 2408.333333333333, 'rank': 14}
Rank 15: {'대카테고리': '식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '수산물/건어물', '세부카테고리': '생선알', 'total': 54, 'recent_sum': 50, 'older_sum': 4, 'growth_rate': 12.5, 'final_score': 729.0, 'rank': 15}
Rank 16: {'대카테고리': '출산/유아동', '중카테고리': '분유/어린이식품', '소카테고리': '미음/죽/분말', '세부카테고리': '수제/배달', 'total': 12, 'recent_sum': 12, 'older_sum': 0, 'growth_rate': 12, 'final_score': 156, 'rank': 16}
Rank 17: {'대카테고리': '스포츠/레저', '중카테고리': '자전거', '소카테고리': '자전거 악세서리', '세부카테고리': '물병', 'total': 12, 'recent_sum': 12, 'older_sum': 0, 'growth_rate': 12, 'final_score': 156, 'rank': 17}
Rank 18: {'대카테고리': '스포츠/레저', '중카테고리': '등산/아웃도어', '소카테고리': '등산용품/랜턴', '세부카테고리': '물병', 'total': 12, 'recent_sum': 12, 'older_sum': 0, 'growth_rate': 12, 'final_score': 156, 'rank': 18}
Rank 19: {'대카테고리': '스포츠/레저', '중카테고리': '스포츠잡화', '소카테고리': '액세서리 기타', '세부카테고리': '스포츠 물병', 'total': 12, 'recent_sum': 12, 'older_sum': 0, 'growth_rate': 12, 'final_score': 156, 'rank': 19}
Rank 20: {'대카테고리': '스포츠/레저', '중카테고리': '기타스포츠', '소카테고리': '육상/체조', '세부카테고리': '스포츠물병', 'total': 12, 'recent_sum': 12, 'older_sum': 0, 'growth_rate': 12, 'final_score': 156, 'rank': 20}
Rank 21: {'대카테고리': '스포츠/레저', '중카테고리': '기타스포츠', '소카테고리': '철인3종경기', '세부카테고리': '물병', 'total': 12, 'recent_sum': 12, 'older_sum': 0, 'growth_rate': 12, 'final_score': 156, 'rank': 21}
